;kingdom;supergroup;phylum;class;order;family;genus;species;Confidence
>ASV_7601;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1_X;Dino-Group-II-Clade-1_X_sp.;0.999999999
>ASV_7602;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.999999546
>ASV_7603;Eukaryota;Alveolata;Ciliophora;Litostomatea;Haptoria_4;Didiniidae;Didiniidae_X;Didiniidae_X_sp.;0.847576914
>ASV_7604;Eukaryota;Stramenopiles;Sagenista;MAST-7;MAST-7B;MAST-7B_X;MAST-7B_XX;MAST-7B_XX_sp.;0.996191029
>ASV_7605;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;;;;0.824660405
>ASV_7606;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-IV;Dino-Group-IV-Hematodinium-Group;Hematodinium;Hematodinium_sp.;0.999892367
>ASV_7607;Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Pseudoperkinsidae;;;0.999840107
>ASV_7608;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.723277287
>ASV_7609;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.988492613
>ASV_7610;Eukaryota;Rhizaria;Cercozoa;Endomyxa;Vampyrellida;op14-lineage;op14-lineage_X;op14-lineage_X_sp.;0.999515938
>ASV_7611;Eukaryota;Opisthokonta;Metazoa;;;;;;0.723262806
>ASV_7612;Eukaryota;;;;;;;;1
>ASV_7613;Eukaryota;;;;;;;;1
>ASV_7614;Eukaryota;Alveolata;Ciliophora;Oligohymenophorea;Oligohymenophorea_X;Oligohymenophorea_XX;Cinetochilum;Cinetochilum_ovale;0.997214207
>ASV_7615;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999249908
>ASV_7616;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-14;Dino-Group-II-Clade-14_X;Dino-Group-II-Clade-14_X_sp.;1
>ASV_7617;Eukaryota;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Prolecithophora;;;0.837664473
