;kingdom;supergroup;phylum;class;order;family;genus;species;Confidence
>ASV_1;Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;;;0.999999967
>ASV_2;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_clade_B3;0.879488445
>ASV_3;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona_similis;0.748732308
>ASV_4;Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;Cryptomonadales_X;;;0.999999996
>ASV_5;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.967620445
>ASV_6;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_squamata;0.87126873
>ASV_7;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_rex;0.952065235
>ASV_8;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Arcocellulus;Arcocellulus_cornucervis;0.764026004
>ASV_9;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.873292433
>ASV_10;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.983369383
>ASV_11;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona_similis;0.748732309
>ASV_12;Eukaryota;Archaeplastida;Chlorophyta;Pyramimonadales;Pyramimonadales_X;Pyramimonadales_XX;Pyramimonas;Pyramimonas_australis;0.995213683
>ASV_13;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_14;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_clade_B3;0.999950522
>ASV_15;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_clade_B3;0.87894351
>ASV_16;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;;;;0.74524866
>ASV_17;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.942548369
>ASV_18;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.997925709
>ASV_19;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Calanus;;0.995317792
>ASV_20;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.99927321
>ASV_21;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.968134242
>ASV_22;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_leadbeateri;0.988602929
>ASV_23;Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales_X;Parmales_XX;Parmales_XX_sp.;0.999484212
>ASV_24;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.989246601
>ASV_25;Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-2;Telonema-Group-2;Telonema_antarcticum;0.996933455
>ASV_26;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.938941601
>ASV_27;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Choreotrichida;Leegaardiellidae_B;Leegaardiella;Leegaardiella_sp.;0.999999999
>ASV_28;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.995435786
>ASV_29;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Skeletonema;Skeletonema_dohrnii;0.977759428
>ASV_30;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999956988
>ASV_31;Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picomonas;Picomonas_judraskeda;0.999951107
>ASV_32;Eukaryota;Opisthokonta;Choanoflagellida;;;;;;0.774491019
>ASV_33;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.814245238
>ASV_34;Eukaryota;Opisthokonta;Fungi;;;;;;0.981941103
>ASV_35;Eukaryota;Opisthokonta;Fungi;;;;;;0.967227304
>ASV_36;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.991069939
>ASV_37;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_gelidus;0.999843264
>ASV_38;Eukaryota;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachniophyceae_X;NPK2-lineage;NPK2-lineage_X;NPK2-lineage_X_sp.;0.99982692
>ASV_39;Eukaryota;Stramenopiles;;;;;;;0.99996575
>ASV_40;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.864259252
>ASV_41;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona_similis;0.748732308
>ASV_42;Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-1;Telonema-Group-1;Telonema_sp.;0.874838932
>ASV_43;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.909179274
>ASV_44;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Micromonas;Micromonas_clade_B3;0.878745334
>ASV_45;Eukaryota;Hacrobia;Telonemia;Telonemia_X;Telonemia_XX;Telonemia-Group-2;Telonema-Group-2;Telonema_antarcticum;0.999999591
>ASV_46;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiales_X;Suessiales_XX;Suessiales_XX_sp.;0.972670977
>ASV_47;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-14;Dino-Group-II-Clade-14_X;Dino-Group-II-Clade-14_X_sp.;0.999999514
>ASV_48;Eukaryota;Rhizaria;Radiolaria;Acantharea;Chaunacanthida;Chaunacanthida_X;;;0.927377943
>ASV_49;Eukaryota;Opisthokonta;Metazoa;Ctenophora;Ctenophora_X;Ctenophora_XX;;;0.99999999
>ASV_50;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;Chrysochromulina_simplex;0.999859432
>ASV_51;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.979901109
>ASV_52;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa;;;0.999998393
>ASV_53;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Eucampia;Eucampia_groenlandica;0.726805566
>ASV_54;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.981580267
>ASV_55;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;0.999998576
>ASV_56;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiales_X;Suessiales_XX;Suessiales_XX_sp.;0.874874523
>ASV_57;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.998257838
>ASV_58;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.975781615
>ASV_59;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;;;0.776918039
>ASV_60;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999984943
>ASV_61;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.998421279
>ASV_62;Eukaryota;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Oithona;Oithona_similis;0.748720993
>ASV_63;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;;;;0.993444573
>ASV_64;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_65;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Leptocylindrus;Leptocylindrus_minimus;0.999999747
>ASV_66;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-5;Dino-Group-I-Clade-5_X;Dino-Group-I-Clade-5_X_sp.;0.990042349
>ASV_67;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;;0.843179801
>ASV_68;Eukaryota;Stramenopiles;Pseudofungi;MAST-2;MAST-2D;MAST-2D_X;MAST-2D_XX;MAST-2D_XX_sp.;0.76020282
>ASV_69;Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Katablepharidales_X;Katablepharis;Katablepharis_japonica;0.999999535
>ASV_70;Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales_X;Parmales_XX;Parmales_XX_sp.;0.706663929
>ASV_71;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.981059281
>ASV_72;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira_concaviuscula;0.864781998
>ASV_73;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.96772431
>ASV_74;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;;;;0.999965704
>ASV_75;Eukaryota;Opisthokonta;Fungi;;;;;;0.851230803
>ASV_76;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.998541898
>ASV_77;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Dictyochophyceae_XX;Dictyochophyceae_XXX;Dictyochophyceae_XXX_sp.;0.880205601
>ASV_78;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.98730426
>ASV_79;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Skeletonema;Skeletonema_dohrnii;0.978608677
>ASV_80;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999999364
>ASV_81;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_82;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Cymbella;;0.716411651
>ASV_83;Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa;;;0.999998393
>ASV_84;Eukaryota;Stramenopiles;;;;;;;0.99967555
>ASV_85;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.972175289
>ASV_86;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;0.994879245
>ASV_87;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_squamata;0.999918002
>ASV_88;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Pseudo-nitzschia;Pseudo-nitzschia_granii;0.936511173
>ASV_89;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.967856469
>ASV_90;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.931911357
>ASV_91;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.999169811
>ASV_92;Eukaryota;Hacrobia;Katablepharidophyta;Katablepharidaceae;Katablepharidales;Katablepharidales_X;Leucocryptos;Leucocryptos_sp.;0.999435524
>ASV_93;Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picomonas;Picomonas_judraskeda;0.889998692
>ASV_94;Eukaryota;Stramenopiles;Sagenista;MAST-8;MAST-8_X;MAST-8_XX;MAST-8_XXX;MAST-8_XXX_sp.;0.999544411
>ASV_95;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.995379505
>ASV_96;Eukaryota;Stramenopiles;Ochrophyta;MOCH-2;MOCH-2_X;MOCH-2_XX;MOCH-2_XXX;MOCH-2_XXX_sp.;0.999999656
>ASV_97;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;;0.999999944
>ASV_98;Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_D;Acanthocorbis;Acanthocorbis_unguiculata;0.998896821
>ASV_99;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.999662103
>ASV_100;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_101;Eukaryota;Opisthokonta;Mesomycetozoa;Ichthyosporea;Ichthyosphonida;Abeoformidae_Group_MAIP_2;Abeoformidae_Group_MAIP_2_X;Abeoformidae_Group_MAIP_2_X_sp.;0.999976331
>ASV_102;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Thalassiosira;Thalassiosira_angulata;0.742676515
>ASV_103;Eukaryota;Stramenopiles;Ochrophyta;;;;;;0.917268792
>ASV_104;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.948953768
>ASV_105;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_squamata;0.871990167
>ASV_106;Eukaryota;Stramenopiles;Pseudofungi;MAST-1;MAST-1B;MAST-1B_X;MAST-1B_XX;MAST-1B_XX_sp.;1
>ASV_107;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Pedinellales;;;0.999930969
>ASV_108;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.984873718
>ASV_109;Eukaryota;;;;;;;;1
>ASV_110;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Actinocyclus;Actinocyclus_curvatulus;0.998984009
>ASV_111;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;;;;;0.867996835
>ASV_112;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.979457437
>ASV_113;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.999984834
>ASV_114;Eukaryota;Stramenopiles;Sagenista;MAST-4;;;;;0.913966992
>ASV_115;Eukaryota;Stramenopiles;Opalozoa;MAST-3;MAST-3L;MAST-3L_X;MAST-3L_XX;MAST-3L_XX_sp.;0.999999338
>ASV_116;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Suessiales;Suessiales_X;Suessiales_XX;Suessiales_XX_sp.;0.926280877
>ASV_117;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.995191252
>ASV_118;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;;;0.999999344
>ASV_119;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_gelidus;0.999843264
>ASV_120;Eukaryota;Rhizaria;Cercozoa;;;;;;0.921636036
>ASV_121;Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;Parmales_env_3;Parmales_env_3B;Parmales_env_3B_sp.;0.999471247
>ASV_122;Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-F;Paraphysomonas;Paraphysomonas_imperforata;0.992802459
>ASV_123;Eukaryota;Opisthokonta;Fungi;;;;;;0.975470916
>ASV_124;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.994244346
>ASV_125;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;0.999969543
>ASV_126;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.987368427
>ASV_127;Eukaryota;Stramenopiles;Ochrophyta;MOCH-2;MOCH-2_X;MOCH-2_XX;MOCH-2_XXX;MOCH-2_XXX_sp.;0.986153663
>ASV_128;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.930092251
>ASV_129;Eukaryota;;;;;;;;1
>ASV_130;Eukaryota;Opisthokonta;Fungi;;;;;;0.780175399
>ASV_131;Eukaryota;Archaeplastida;Chlorophyta;Prasino-Clade-V;Pseudoscourfieldiales;Pycnococcaceae;Pycnococcus;Pycnococcus_sp.;0.772892271
>ASV_132;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Skeletonema;;0.941995722
>ASV_133;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.99935926
>ASV_134;Eukaryota;Opisthokonta;Metazoa;Mollusca;Bivalvia;Heteroconchia;Hiatella;Hiatella_sp.;0.7969406
>ASV_135;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida;Strombidiidae_M;Strombidium_M;Strombidium_caudispina;0.725980862
>ASV_136;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-6;Dino-Group-II-Clade-6_X;Dino-Group-II-Clade-6_X_sp.;0.999982175
>ASV_137;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Haptolina;;0.999082294
>ASV_138;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.999825077
>ASV_139;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-10-and-11;Dino-Group-II-Clade-10-and-11_X;Dino-Group-II-Clade-10-and-11_X_sp.;0.999983864
>ASV_140;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa;Protaspa_grandis;0.981017598
>ASV_141;Eukaryota;Opisthokonta;;;;;;;0.999353576
>ASV_142;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.998871083
>ASV_143;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea_X;Filosa-Thecofilosea_XX;Filosa-Thecofilosea_XXX;Filosa-Thecofilosea_XXX_sp.;0.773151107
>ASV_144;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;1
>ASV_145;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Polar-centric-Mediophyceae_X;Polar-centric-Mediophyceae_X_sp.;0.710374595
>ASV_146;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Cymbella;;0.716411634
>ASV_147;Eukaryota;Alveolata;Dinoflagellata;;;;;;0.988729378
>ASV_148;Eukaryota;Opisthokonta;Metazoa;Craniata;Craniata_X;;;;1
>ASV_149;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.98140716
>ASV_150;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;;;0.999998221
>ASV_151;Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella_squamata;0.924645624
>ASV_152;Eukaryota;Rhizaria;Cercozoa;Filosa-Thecofilosea;Filosa-Thecofilosea_X;Mataza-lineage;;;0.993390903
>ASV_153;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Raphid-pennate;Nitzschia;Nitzschia_draveillensis;0.878877907
>ASV_154;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;;0.965978418
>ASV_155;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-16;Dino-Group-II-Clade-16_X;Dino-Group-II-Clade-16_X_sp.;0.999997802
>ASV_156;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;Ptychocylididae;Ptychocylis;Ptychocylis_sp.;0.940227403
>ASV_157;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;0.999999057
>ASV_158;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Radial-centric-basal-Coscinodiscophyceae;Leptocylindrus;Leptocylindrus_minimus;0.999998722
>ASV_159;Eukaryota;Opisthokonta;Fungi;Chytridiomycota;Chytridiomycotina;Chytridiomycetes;Aphelidium;Aphelidium_sp.;0.780589112
>ASV_160;Eukaryota;Rhizaria;Cercozoa;;;;;;0.99938018
>ASV_161;Eukaryota;Hacrobia;Picozoa;Picozoa_X;Picozoa_XX;Picozoa_XXX;Picomonas;Picomonas_judraskeda;0.880255674
>ASV_162;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Eucampia;Eucampia_groenlandica;0.726114108
>ASV_163;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;;;;0.755882897
>ASV_164;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Phaeocystales;Phaeocystaceae;Phaeocystis;Phaeocystis_rex;0.985598852
>ASV_165;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.997631708
>ASV_166;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;;;;;0.741578057
>ASV_167;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Chrysochromulinaceae;Chrysochromulina;;0.975306119
>ASV_168;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Gymnodiniales;Chytriodiniaceae;Dissodinium;Dissodinium_pseudolunula;0.758435532
>ASV_169;Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Chaetoceros;Chaetoceros_gelidus;0.999829138
>ASV_170;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-4;Dino-Group-I-Clade-4_X;Dino-Group-I-Clade-4_X_sp.;0.999999095
>ASV_171;Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-I;Dino-Group-I-Clade-1;Dino-Group-I-Clade-1_X;Dino-Group-I-Clade-1_X_sp.;0.99998543
>ASV_172;Eukaryota;Alveolata;Ciliophora;Spirotrichea;Tintinnida;TIN_11;Tintinnopsis_11;;0.964501127
>ASV_173;Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Prymnesiales;Prymnesiaceae;Prymnesium;;0.921427012
>ASV_174;Eukaryota;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochophyceae_X;Florenciellales;Pseudochattonella;Pseudochattonella_sp.;0.772488297
>ASV_175;Eukaryota;;;;;;;;1
>ASV_176;Eukaryota;;;;;;;;1
>ASV_177;Eukaryota;Alveolata;Dinoflagellata;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Dinophyceae_XXX;Dinophyceae_XXX_sp.;0.793252432
>ASV_178;Eukaryota;Opisthokonta;Choanoflagellida;Choanoflagellatea;Acanthoecida;Stephanoecidae_Group_H;Stephanoeca_Group_H;Stephanoeca_cauliculata;0.999611807
