Site,Station,Region,Region2,Fjord,Fjord2,In/Out,Date,Time ,Depth [m],Volume [L],Latitude,Longitude,temperature [∞C],salinity [psu],density,O2umol.l,O sat. [%],Attenuation (optical beam transmission),Fluorometer,salinity [psu],PO4_umol.l,Si_umol.l,NO2_umol.l,NO3_umol.l,NH4_umol.l,Glacial influence,Bioclimatic_subzone
HE431.Prok.F02.15_S12,HE431.F02.15,South.Norway,South.Norway,Nordfjord,Nordfjord,3,28.08.2014,14:28,3m-30m,12.5,61.8648,5.7838,11.22,32.82,25.01,256.53,92.09,92.35,0.61,32.82,1.81,0.08,0.18,1.87,0.42,No,temperate
HE431.Prok.F02.16_S13,HE431.F02.16,South.Norway,South.Norway,Nordfjord,Nordfjord,1,29.08.2014,06:48,3m-30m,12.5,61.8648,6.7928,10.24,32.61,25.16,257.77,92.36,86.72,0.85,32.61,3.85,<LOQ,0.25,3.3,0.61,No,temperate
HE431.Prok.F02.17_S14,HE431.F02.17,South.Norway,South.Norway,Nordfjord,Nordfjord,3,29.08.2014,10:46,3m-30m,12.5,61.852,6.2717,11.07,32.64,24.91,270.72,96.95,90.15,0.75,32.64,1.77,0.11,0.18,2,0.48,No,temperate
HE431.Prok.F02.19_S16,HE431.F02.19,South.Norway,South.Norway,Sognefjord,Sognefjord,3,30.08.2014,09:56,3m-30m,12.5,61.0478,5.3898,13.05,31.01,23.29,248.77,91.81,90.44,1.5,31.01,0.98,0.05,0.21,2.09,0.13,No,temperate
HE431.Prok.F02.20_S17,HE431.F02.20,South.Norway,South.Norway,Sognefjord,Sognefjord,3,30.08.2014,15:15,3m-30m,12.5,61.143,5.9972,12.29,30.7,23.18,252.59,91.5,91.41,0.74,30.7,1.07,0.19,0.13,2.32,0.23,No,temperate
HE431.Prok.F02.21_S18,HE431.F02.21,South.Norway,South.Norway,Sognefjord,Sognefjord,1,31.08.2014,05:03,3m-30m,12.5,61.1498,7.3162,11.14,30.83,23.48,260.83,92.47,89.82,0.8,30.83,3.17,0.2,0.2,2.02,0.39,No,temperate
HE431.Prok.F02.22_S19,HE431.F02.22,South.Norway,South.Norway,Sognefjord,Sognefjord,3,31.08.2014,10:47,3m-30m,12.5,61.1683,6.7408,11.58,31.48,23.89,255.53,91.81,89.59,0.68,31.48,2.3,0.17,0.18,2.38,0.17,No,temperate
HE431.Prok.F02.23_S20,HE431.F02.23,South.Norway,South.Norway,Boknafjord,Boknafjord,3,02.09.2014,07:40,3m-30m,12.5,59.4207,5.065,16.34,32.31,23.61,226.76,90.21,88.82,1.69,32.31,<LOQ,<LOQ,0.06,1.96,0.11,No,temperate
HE431.Prok.F02.24_S21,HE431.F02.24,South.Norway,South.Norway,Boknafjord,Boknafjord,3,03.09.2014,06:44,3m-30m,12.5,59.082,5.1642,16.87,31.81,23.1,218.93,87.74,89.78,1.27,31.81,<LOQ,<LOQ,0.05,1.97,0.26,No,temperate
HE431.Prok.F02.25_S22,HE431.F02.25,South.Norway,South.Norway,Boknafjord,Boknafjord,3,03.09.2014,11:17,3m-30m,12.5,59.3333,5.92,16.15,31.52,23.05,226.58,89.14,86.89,1.67,31.52,<LOQ,0.06,0.08,1.96,0.19,No,temperate
HE431.Prok.F02.26_S23,HE431.F02.26,South.Norway,South.Norway,Boknafjord,Boknafjord,3,03.09.2014,15:15,3m-30m,12.5,59.4783,6.1662,14.83,30.88,22.84,220.87,84.36,85.23,2.68,30.88,0.55,0.19,0.07,1.36,0.46,No,temperate
HE431.Prok.F02.27_S24,HE431.F02.27,South.Norway,South.Norway,Orust-Tjˆrn.Fjord,Orust-Tjˆrn.Fjord,0,05.09.2014,04:14,3m-25m,12.5,57.9138,11.5172,16.9,25.93,18.59,221.99,85.74,87.74,1.24,25.93,0.69,0.1,0.18,2.87,0.97,No,temperate
HE431.Prok.F02.28_S25,HE431.F02.28,South.Norway,South.Norway,Orust-Tjˆrn.Fjord,Orust-Tjˆrn.Fjord,3,05.09.2014,07:53,3m-25m,12.5,57.9383,11.6962,17.01,25.17,18.4,209.77,81.02,78.06,2.57,25.17,0.55,1.15,0.3,6.4,1.1,No,temperate
HE431.Prok.F02.29_S26,HE431.F02.29,South.Norway,South.Norway,Orust-Tjˆrn.Fjord,Orust-Tjˆrn.Fjord,3,05.09.2014,10:50,3m-12m,12.5,58.0835,11.7837,17.75,23.51,16.52,237.6,92.21,80.24,3.31,23.51,<LOQ,<LOQ,0.11,6.66,0.24,No,temperate
HE431.Prok.F02.30_S27,HE431.F02.30,South.Norway,South.Norway,Orust-Tjˆrn.Fjord,Orust-Tjˆrn.Fjord,3,05.09.2014,14:38,3m-12m,12.5,58.2482,11.84,17.86,24.12,16.87,208.4,81.74,80.48,3.24,24.12,0.25,0.43,0.28,10.35,0.32,No,temperate
HE431.Prok.F02.31_S28,HE431.F02.31,South.Norway,South.Norway,Orust-Tjˆrn.Fjord,Orust-Tjˆrn.Fjord,1,06.09.2014,06:19,3m-30m,12.5,58.3172,11.7707,13.64,28.43,21.15,72.99,27.79,84.35,0.94,28.43,4.03,0.18,0.9,18.73,0.61,No,temperate
HE492_12_S63,HE492_12,Svalbard,Svalbard.HE431,Van.Mijen.Fjord,Van.Mijen.Fjord,3,04.08.2017,06:14,3m-30m,22,77.7827,15.3108,5.14,33.61,25.76,313.82,97.91,83.38,1.27,33.61,0.1,1.61,0.18,0.51,0.91,Yes,high_arctic
HE492_16_S51,HE492_16,Svalbard,Svalbard.HE431,Van.Mijen.Fjord,Van.Mijen.Fjord,3,04.08.2017,10:29,3m-30m,n. a. ,77.715,14.4051,5.13,34.05,26.91,322.93,101.67,86.87,1.89,34.05,0.16,1.3,0.08,0.85,2.09,Yes,high_arctic
HE492_20_S40,HE492_20,Svalbard,Svalbard.HE431,Van.Mijen.Fjord,Van.Mijen.Fjord,0,04.08.2017,14:09,3m-30m,21,77.6166,13.649,4.86,34.59,27.36,333.04,104.53,90.04,1.67,34.59,0.23,1.38,0.13,1.57,0.68,Yes,high_arctic
HE492_3_S87,HE492_3,Svalbard,Svalbard.HE431,Van.Mijen.Fjord,Van.Mijen.Fjord,1,03.08.2017,06:40,3m-30m,20,77.7965,17.009,3.06,32.64,25.99,315.44,93.39,33.17,0.25,32.64,0.17,3.65,0.18,1.23,1.97,Yes,high_arctic
HE492_8_S75,HE492_8,Svalbard,Svalbard.HE431,Van.Mijen.Fjord,Van.Mijen.Fjord,3,03.08.2017,12:00,3m-30m,19,77.8005,16.0033,4.86,32.31,25.55,311.07,96.16,75.68,0.63,32.31,0.09,1.68,0.17,0.58,1.78,Yes,high_arctic
HE492_100_S90,HE492_100,Svalbard,Svalbard.HE431,Isfjord,Isfjord,3,15.08.2017,14:08,3m-30m,22,78.3318,15.0159,4.94,33.67,26.62,307.27,96.04,88.02,1.04,33.67,0.14,0.87,0.08,0.26,0.65,Yes,high_arctic
HE492_104_S78,HE492_104,Svalbard,Svalbard.HE431,Isfjord,Isfjord,1,16.08.2017,05:40,3m-30m,22,78.4175,16.0002,5.73,33.56,26.44,305.8,97.36,87.72,2.13,33.56,0.07,0.7,0.04,0.12,0.32,Yes,high_arctic
HE492_108_S66,HE492_108,Svalbard,Svalbard.HE431,Isfjord,Isfjord,3,16.08.2017,08:59,3m-30m,20,78.5497,16.3687,5.15,33.34,26.34,301.6,94.5,85.22,1.31,33.34,0.11,0.46,0.1,0.45,0.81,Yes,high_arctic
HE492_110_S54,HE492_110,Svalbard,Svalbard.HE431,Isfjord,Isfjord,3,16.08.2017,11:59,3m-30m,22,78.6627,16.8086,5.84,23.32,25.42,297.87,94.21,77.69,1.02,23.32,0.08,0.38,0.07,0.27,0.76,Yes,high_arctic
HE492_92_S20,HE492_92,Svalbard,Svalbard.HE431,Isfjord,Isfjord,0,keine ctd,,,,,,,,,,,,,,,,,,,Yes,high_arctic
HE492_96_S10,HE492_96,Svalbard,Svalbard.HE431,Isfjord,Isfjord,3,keine ctd,,,,,,,,,,,,,,,,,,,Yes,high_arctic
HE492_64_S9,HE492_64,Svalbard,Svalbard.HE431,Kongsfjord,Kongsfjord.HE492,3,11.08.2017,07:02,3m-30m,21,79.0011,10.6648,6.87,34.71,27.21,310.73,102.4,89.88,1.76,34.71,0.1,0.82,0.04,0.47,0.25,Yes,high_arctic
HE492_68_S89,HE492_68,Svalbard,Svalbard.HE431,Kongsfjord,Kongsfjord.HE492,3,11.08.2017,10:31,3m-30m,21,79.0115,11.4274,6.9,33.97,26.62,305.78,100.36,88.28,1.57,33.97,0.1,0.85,0.15,0.1,0.29,Yes,high_arctic
HE492_72_S77,HE492_72,Svalbard,Svalbard.HE431,Kongsfjord,Kongsfjord.HE492,3,11.08.2017,15:42,3m-30m,22,78.955,11.9528,6.03,33.93,26.7,307.56,98.8,84.64,1.74,33.93,0.14,1.83,0.08,0.38,0.56,Yes,high_arctic
HE492_76_S65,HE492_76,Svalbard,Svalbard.HE431,Kongsfjord,Kongsfjord.HE492,3,12.08.2017,06:32,3m-30m,n. a. ,78.9065,12.2467,5.43,34.05,26.87,300.01,95.13,66.67,0.28,34.05,0.24,1.85,0.19,1,1.64,Yes,high_arctic
MSM56.Prok.F02.553_S40,MSM56.F02.553_S40,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,3,03.07.2016,04:08,3m-40m,?,78.9665,12.379,3.35,34.3,,288.8,,,0.08,34.3,0.24,0.6,0.07,1.39,,Yes,high_arctic
MSM56.Prok.F02.554_S41,MSM56.F02.554_S41,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,1,03.07.2016,09:55,3m-40m,14,78.9302,12.3823,3.63,34.21,,284.92,,,0.083,34.21,0.28,0.84,0.08,1.72,,Yes,high_arctic
MSM56.Prok.F02.555_S42,MSM56.F02.555_S42,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,3,03.07.2016,12:03,3m-40m,13,78.8968,12.4407,3.72,34.42,,283.67,,,0.083,34.42,0.18,0.44,0.04,0.64,,Yes,high_arctic
MSM56.Prok.F02.556_S43,MSM56.F02.556_S43,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,3,03.07.2016,16:47,3m-40m,14,78.9127,12.1805,4.28,34.55,,282.58,,,0.084,34.55,0.18,0.59,0.03,0.33,,Yes,high_arctic
MSM56.Prok.F02.557_S44,MSM56.F02.557_S44,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,3,04.07.2016,06:12,3m-25m,16,78.9542,11.9562,4.4,34.47,,281.35,,,0.084,34.47,0.18,0.76,0.03,0.34,,Yes,high_arctic
MSM56.Prok.F02.558_S45,MSM56.F02.558_S45,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,3,04.07.2016,10:44,5m-30m,14,78.9782,11.7302,4.35,34.62,,278.07,,,0.085,34.62,0.19,0.7,0.02,0.31,,Yes,high_arctic
MSM56.Prok.F02.559_S46,MSM56.F02.559_S46,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,0,04.07.2016,13:33,4m-30m,13,79.0113,11.4273,4.51,34.59,,275.52,,,0.085,34.59,0.21,1.19,0.04,0.96,,Yes,high_arctic
MSM56.Prok.F02.560_S47,MSM56.F02.560_S47,Svalbard,Svalbard.MSM56,Kongsfjord,Kongsfjord.MSM56,3,04.07.2016,16:48,4m-30m,15,79.021,11.3058,4.53,34.47,,275.74,,,0.085,34.47,0.15,0.72,0.03,0.28,,Yes,high_arctic
HE492_44_S64,HE492_44,Svalbard,Svalbard.HE431,Woodfjord,Woodfjord,1,09.08.2017,06:29,3m-30m,20,79.5582,12.4996,2.31,33.23,26.54,336.14,98.18,49.19,0.31,33.23,0.34,3.48,0.12,2.96,1.53,Yes,high_arctic
HE492_48_S52,HE492_48,Svalbard,Svalbard.HE431,Woodfjord,Woodfjord,3,09.08.2017,12:15,3m-30m,n. a. ,79.6166,13,3.68,33.04,26.24,349.89,105.64,83.04,0.96,33.04,0.15,1.27,0.02,0.28,0.29,Yes,high_arctic
HE492_52_S41,HE492_52,Svalbard,Svalbard.HE431,Woodfjord,Woodfjord,3,10.08.2017,06:07,3m-30m,21,79.6157,13.7753,3.69,33.12,26.31,349.62,105.62,84.34,1.97,33.12,0.21,2.57,0.12,1.01,0.78,Yes,high_arctic
HE492_56_S30,HE492_56,Svalbard,Svalbard.HE431,Woodfjord,Woodfjord,3,10.08.2017,09:05,3m-30m,20,79.7668,14.1482,2.26,33.22,26.53,335.28,97.8,41.2,0.45,33.22,0.11,2.01,0.04,0.37,0.35,Yes,high_arctic
HE492_60_S19,HE492_60,Svalbard,Svalbard.HE431,Woodfjord,Woodfjord,0,10.08.2017,14:07,3m-30m,20,79.934,14.3597,4.12,33.4,26.51,332.87,101.86,88.12,2,33.4,0.12,1.41,0.08,0.5,0.39,Yes,high_arctic
HE492_24_S29,HE492_24,Svalbard,Svalbard.HE431,Wijdefjord,Wijdefjord,0,06.08.2017,06:10,3m-30m,20,79.9999,14.9791,3.5,33.34,26.51,336.49,101.36,88.19,1.75,33.34,0.18,1.27,0.06,0.9,0.41,Yes,high_arctic
HE492_28_S18,HE492_28,Svalbard,Svalbard.HE431,Wijdefjord,Wijdefjord,3,06.08.2017,10:57,3m-30m,n. a. ,79.7347,15.361,3.84,33.48,26.59,346.9,105.46,87.63,2.04,33.48,0.17,1.06,0.03,0.42,0.37,Yes,high_arctic
HE492_32_S8,HE492_32,Svalbard,Svalbard.HE431,Wijdefjord,Wijdefjord,3,06.08.2017,16:06,3m-30m,20,79.4867,15.5578,4.56,33.4,26.45,333.98,103.26,85.64,1.85,33.4,0.25,1.84,0.07,1.93,0.68,Yes,high_arctic
HE492_36_S88,HE492_36,Svalbard,Svalbard.HE431,Wijdefjord,Wijdefjord,3,07.08.2017,06:07,3m-30m,22,79.2118,15.9038,4.35,33.29,26.38,326.04,100.24,79.29,2.2,33.29,0.18,2.56,0.06,1.41,0.61,Yes,high_arctic
HE492_40_S76,HE492_40,Svalbard,Svalbard.HE431,Wijdefjord,Wijdefjord,1,07.08.2017,12:15,3m-30m,n. a. ,78.9552,16.3044,3.4,33.28,26.47,323.76,97.2,73.8,0.61,33.28,0.35,3.42,0.1,3.81,1.38,Yes,high_arctic
MSM21.Prok.F02.527_S35,MSM21.F02.527,Iceland,Iceland,Iceland,Iceland,3,05.08.2012,11:14,3-30m,,65.7735,-23.2107,9.87,34.06,26.23,7.17,112.56,,0.79,34.06,0.15,1.42,0.02,0.08,0.33,No,subarctic
MSM21.Prok.F02.530_S36,MSM21.F02.530,Iceland,Iceland,Iceland,Iceland,3,05.08.2012,16:59,3-30m,,65.7998,-23.8475,10.81,34.57,26.47,6.59,105.75,,0.94,34.57,0.16,0.96,0.04,0.09,0.24,No,subarctic
MSM21.Prok.F02.532_S37,MSM21.F02.532,Iceland,Iceland,Iceland,Iceland,3,06.08.2012,14:44,3-30m,,65.4468,-24.6498,9.89,34.82,26.83,6.08,96.03,,0.48,34.82,0.32,2.12,0.11,1.16,0.76,No,subarctic
MSM21.Prok.F02.541_S39,MSM21.F02.541,Iceland,Iceland,Iceland,Iceland,3,08.08.2012,10:02,3-30m,,64.7332,-23.3,10.39,34.66,26.61,5.91,94.27,,0.61,34.66,0.9,5.56,0.4,9.79,0.48,No,subarctic
MSM56.Prok.F02.580_S59,MSM56.F02.580,East.Greenland,East.Greenland,Nordvestfjord.Scoresby.Sund,Nordvestfjord.Scoresby.Sund,1,12.07.2016,18:25,1m-20m,15,71.9097,-28.3163,1.69,26.93,,329.67,,,0.02,26.93,0.09,1.51,0.07,0.32,,Yes,low_arctic
MSM56.Prok.F02.582_S60,MSM56.F02.582,East.Greenland,East.Greenland,Nordvestfjord.Scoresby.Sund,Nordvestfjord.Scoresby.Sund,3,13.07.2016,10:44,5m-15m,15,71.9327,-28.1207,1.87,26.89,,323.07,,,0.022,26.89,0.09,1.19,0.04,0.02,,Yes,low_arctic
MSM56.Prok.F02.590_S61,MSM56.F02.590,East.Greenland,East.Greenland,Nordvestfjord.Scoresby.Sund,Nordvestfjord.Scoresby.Sund,3,15.07.2016,10:25,n. a. (1-15),n. a.,71.5333,-26.9657,3.58,27.68,,314.48,,,0.22,27.68,0.17,2.12,0.04,0.53,,Yes,low_arctic
MSM56.Prok.F02.595_S62,MSM56.F02.595,East.Greenland,East.Greenland,Nordvestfjord.Scoresby.Sund,Nordvestfjord.Scoresby.Sund,3,17.07.2016,06:27,3.8m,n. a. ,71.3478,-25.323,8.96,16.18,,283.56,,,0.022,16.18,0.04,2.64,0.03,0.02,,Yes,low_arctic
MSM21.Prok.F02.503_S29,MSM21.F02.503,West.Greenland,West.Greenland,Disco Bay,Disco Bay,3,27.07.2012,10:57,3-30m,,71.0607,-55.9257,2.49,32.56,25.93,2.67,34.67,,0.77,32.56,,,,,,Yes,low_arctic
MSM21.Prok.F02.511_S30,MSM21.F02.511,West.Greenland,West.Greenland,Disco Bay,Disco Bay,3,28.07.2012,14:38,3-30m,,70.2545,-52.997,2.91,31.53,25.11,8.59,112.91,,2.89,31.53,0.34,1.84,0.04,2.86,0.57,Yes,low_arctic
MSM21.Prok.F02.512_S31,MSM21.F02.512,West.Greenland,West.Greenland,Disco Bay,Disco Bay,3,28.07.2012,20:14,3-30m,,69.9157,-52.0842,2.41,31.96,25.51,8.12,105.72,,2.13,31.96,0.35,2.93,0.01,3.12,0.37,Yes,low_arctic
MSM21.Prok.F02.514_S32,MSM21.F02.514,West.Greenland,West.Greenland,Disco Bay,Disco Bay,3,28.07.2012,07:49,3-30m,,69.1403,-51.2853,1.38,32.55,26.05,6.54,83.25,,0.07,32.55,0.81,12,0.05,11.02,0.45,Yes,low_arctic
MSM21.Prok.F02.515_S33,MSM21.F02.515,West.Greenland,West.Greenland,Disco Bay,Disco Bay,3,28.07.2012,12:51,3-30m,,69.1988,-52.501,6.01,31.44,24.7,8.8,123.48,,0.22,31.44,,,,,,Yes,low_arctic
MSM21.Prok.F02.516_S34,MSM21.F02.516,West.Greenland,West.Greenland,Disco Bay,Disco Bay,3,28.07.2012,18:25,3-30m,,69.1992,-54.1033,4.14,33.31,26.41,7.32,99.34,,0.69,33.31,0.23,1.69,0.08,0.62,0.43,Yes,low_arctic
